model,builder,input,output,valid,reason,metadata
qwen-turbo,toolbench_user_only,"[{""role"": ""user"", ""content"": ""I need to find a tutorial on how to draw landscapes. Please provide me with the details of the most viewed landscape drawing tutorial video. Additionally, I would like to know the details of the channel that uploaded the video.\nYour output must be valid JSON:\n{\n  \""required_parameters\"": [\n    {\n      \""name\"": \""query\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\"",\n      \""default\"": \""never+gonna+give+you+up\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""type\"",\n      \""type\"": \""ENUM\"",\n      \""description\"": \""\"",\n      \""default\"": \""\""\n    },\n    {\n      \""name\"": \""safesearch\"",\n      \""type\"": \""BOOLEAN\"",\n      \""description\"": \""\"",\n      \""default\"": \""false\""\n    }\n  ]\n}\nInput: Search\nOnly return JSON.""}]","{
  ""required_parameters"": {
    ""query"": ""how+to+draw+landscapes""
  },
  ""optional_parameters"": {
    ""type"": ""video"",
    ""safesearch"": false
  }
}",False,"2 validation errors for SimpleYouTubeSearch_Search_Model
required_parameters
  Input should be a valid list [type=list_type, input_value={'query': 'how+to+draw+landscapes'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
optional_parameters
  Input should be a valid list [type=list_type, input_value={'type': 'video', 'safesearch': False}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 0, ""original_length"": 149}"
qwen-turbo,toolbench_user_only,"[{""role"": ""user"", ""content"": ""I'm a blogger and I want to write a detailed review of a specific product with SKU W003247135. Can you provide me with all the information about this product, including images, pricing, and customer reviews?\nYour output must be valid JSON:\n{\n  \""required_parameters\"": [\n    {\n      \""name\"": \""sku\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The value of sku fields returned in .../products/list or .../products/search endpoint.\"",\n      \""default\"": \""W003247135\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""wfProductOptions\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The value of id fields under relevantAttributes JSON object returned right in this endpoint, pass this parameter multiple time for multiple options. Ex : ...&wfProductOptions=1234567890&wfProductOptions=special_offers&...\"",\n      \""default\"": \""\""\n    }\n  ]\n}\nInput: products/detail\nOnly return JSON.""}]","{
  ""required_parameters"": [
    {
      ""name"": ""sku"",
      ""type"": ""STRING"",
      ""description"": ""The value of sku fields returned in .../products/list or .../products/search endpoint."",
      ""default"": ""W003247135""
    }
  ],
  ""optional_parameters"": [
    {
      ""name"": ""wfProductOptions"",
      ""type"": ""STRING"",
      ""description"": ""The value of id fields under relevantAttributes JSON object returned right in this endpoint, pass this parameter multiple time for multiple options. Ex : ...&wfProductOptions=1234567890&wfProductOptions=special_offers&..."",
      ""default"": """"
    }
  ]
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 600, ""original_length"": 600}"
qwen-turbo,toolbench_user_only,"[{""role"": ""user"", ""content"": ""I'm planning a weekend getaway and need to find a nearby hotel. Can you recommend a hotel with good ratings, provide its name, address, phone number, and distance from my location?\nYour output must be valid JSON:\n{\n  \""required_parameters\"": [\n    {\n      \""name\"": \""lat\"",\n      \""type\"": \""NUMBER\"",\n      \""description\"": \""Latitude\"",\n      \""default\"": \""49.283030\""\n    },\n    {\n      \""name\"": \""lng\"",\n      \""type\"": \""NUMBER\"",\n      \""description\"": \""Longitude\"",\n      \""default\"": \""-123.118990\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""type\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Default is **cafe**.\"",\n      \""default\"": \""cafe\""\n    },\n    {\n      \""name\"": \""radius\"",\n      \""type\"": \""NUMBER\"",\n      \""description\"": \""**Meters**\\nDefault: 200\\nMax: 50000\"",\n      \""default\"": \""200\""\n    }\n  ]\n}\nInput: Nearby - (Google)\nOnly return JSON.""}]","{
  ""required_parameters"": {
    ""lat"": 49.283030,
    ""lng"": -123.118990
  },
  ""optional_parameters"": {
    ""type"": ""cafe"",
    ""radius"": 200
  }
}",False,"2 validation errors for NearbyPlaces_NearbyGoogle_Model
required_parameters
  Input should be a valid list [type=list_type, input_value={'lat': 49.28303, 'lng': -123.11899}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
optional_parameters
  Input should be a valid list [type=list_type, input_value={'type': 'cafe', 'radius': 200}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 0, ""original_length"": 149}"
qwen-turbo,toolbench_user_only,"[{""role"": ""user"", ""content"": ""I need to get the list of files in the folder '/diagrams' and also check the storage usage. Can you provide me with the file names, sizes, and modified dates? Additionally, retrieve the storage disk usage.\nYour output must be valid JSON:\n{\n  \""required_parameters\"": [\n    {\n      \""name\"": \""path\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Folder path e.g. '/folder'\"",\n      \""default\"": \""\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""storageName\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Storage name\"",\n      \""default\"": \""\""\n    }\n  ]\n}\nInput: GetFilesList\nOnly return JSON.""}]","{
  ""required_parameters"": [
    {
      ""name"": ""path"",
      ""type"": ""STRING"",
      ""description"": ""Folder path e.g. '/folder'"",
      ""default"": ""/diagrams""
    }
  ],
  ""optional_parameters"": [
    {
      ""name"": ""storageName"",
      ""type"": ""STRING"",
      ""description"": ""Storage name"",
      ""default"": """"
    }
  ]
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 326, ""original_length"": 326}"
qwen-turbo,toolbench_user_only,"[{""role"": ""user"", ""content"": ""I want to start a new business in Los Angeles and I need information on the local market, competitors, and potential customers. Can you provide me with data on the current market trends, top competitors, and target customer demographics in Los Angeles?\nYour output must be valid JSON:\n{\n  \""required_parameters\"": [\n    {\n      \""name\"": \""search_type\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\"",\n      \""default\"": \""place_details\""\n    },\n    {\n      \""name\"": \""data_cid\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The `data_cid` (a standard Google Place identifier) of the Place to retrieve place details for. `data_cid` values are returned in [Places requests](https://www.valueserp.com/docs/search-api/searches/google/places).\\n\\nNote that either a `data_id` or `data_cid` identifier must be supplied.\"",\n      \""default\"": \""\""\n    },\n    {\n      \""name\"": \""data_id\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The `data_id` of the Place to retrieve place details for. `data_id` values are returned in [Places requests](https://www.valueserp.com/docs/search-api/searches/google/places).\\n\\nNote that either a `data_id` or `data_cid` identifier must be supplied.\"",\n      \""default\"": \""\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""hl\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The `hl` parameter determines the Google UI language to return results. View the full list of supported `hl` values [here](https://www.valueserp.com/docs/search-api/reference/google-languages). Defaults to `en`.\\n\"",\n      \""default\"": \""\""\n    }\n  ]\n}\nInput: Google Place Details\nOnly return JSON.""}]","{
  ""required_parameters"": {
    ""search_type"": ""place_details"",
    ""data_cid"": """",
    ""data_id"": """"
  },
  ""optional_parameters"": {
    ""hl"": """"
  }
}",False,"2 validation errors for VALUESERP_GooglePlaceDetails_Model
required_parameters
  Input should be a valid list [type=list_type, input_value={'search_type': 'place_de...cid': '', 'data_id': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
optional_parameters
  Input should be a valid list [type=list_type, input_value={'hl': ''}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 0, ""original_length"": 153}"
qwen-turbo,toolbench_user_only,"[{""role"": ""user"", ""content"": ""I'm planning a road trip with my friends and we need some upbeat music to keep us energized. Can you fetch a playlist from Simple YouTube Search that includes lively and catchy songs? It would be great if the playlist covers various genres like pop, rock, and hip-hop.\nYour output must be valid JSON:\n{\n  \""required_parameters\"": [\n    {\n      \""name\"": \""query\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\"",\n      \""default\"": \""never+gonna+give+you+up\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""type\"",\n      \""type\"": \""ENUM\"",\n      \""description\"": \""\"",\n      \""default\"": \""\""\n    },\n    {\n      \""name\"": \""safesearch\"",\n      \""type\"": \""BOOLEAN\"",\n      \""description\"": \""\"",\n      \""default\"": \""false\""\n    }\n  ]\n}\nInput: Search\nOnly return JSON.""}]","{
  ""required_parameters"": {
    ""query"": ""upbeat road trip music pop rock hip-hop""
  },
  ""optional_parameters"": {
    ""type"": """",
    ""safesearch"": false
  }
}",False,"2 validation errors for SimpleYouTubeSearch_Search_Model
required_parameters
  Input should be a valid list [type=list_type, input_value={'query': 'upbeat road tr...music pop rock hip-hop'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
optional_parameters
  Input should be a valid list [type=list_type, input_value={'type': '', 'safesearch': False}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 0, ""original_length"": 161}"
qwen-turbo,toolbench_user_only,"[{""role"": ""user"", ""content"": ""Please help me convert 2000 JPY to USD, EUR, and INR using the Currency Converter_v3 tool.\nYour output must be valid JSON:\n{\n  \""required_parameters\"": [\n    {\n      \""name\"": \""target\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""This parameter specifies the currency code of the currency that you want to convert to. It is a mandatory parameter and should be a valid three-letter currency code. If there are multiple target currencies, they should be separated by a comma (',') .\"",\n      \""default\"": \""EUR,INR,JPY\""\n    },\n    {\n      \""name\"": \""source\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""This parameter represents the currency from which you want to convert. It is a mandatory parameter and should be a valid three-letter currency code, such as USD (United States Dollar) or EUR (Euro) or many others.\"",\n      \""default\"": \""USD\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""amount\"",\n      \""type\"": \""NUMBER\"",\n      \""description\"": \""This parameter represents the amount that you want to convert from the source currency to the target currency. It is an optional parameter, and if not provided, the default value will be set to 1\"",\n      \""default\"": \""1\""\n    }\n  ]\n}\nInput: converter\nOnly return JSON.""}]","{
  ""required_parameters"": {
    ""target"": ""USD,EUR,INR"",
    ""source"": ""JPY""
  },
  ""optional_parameters"": {
    ""amount"": 2000
  }
}",False,"2 validation errors for CurrencyConverter_v3_converter_Model
required_parameters
  Input should be a valid list [type=list_type, input_value={'target': 'USD,EUR,INR', 'source': 'JPY'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
optional_parameters
  Input should be a valid list [type=list_type, input_value={'amount': 2000}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 0, ""original_length"": 134}"
qwen-turbo,toolbench_user_only,"[{""role"": ""user"", ""content"": ""I'm a food blogger and I'm planning to create a recipe using Target products. Can you suggest some ingredients and provide me with the product details, including prices and availability? Additionally, I would like to know if there are any nearby stores where I can purchase these ingredients.\nYour output must be valid JSON:\n{\n  \""required_parameters\"": [\n    {\n      \""name\"": \""store_id\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\"",\n      \""default\"": \""1122\""\n    },\n    {\n      \""name\"": \""keyword\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\"",\n      \""default\"": \""womens shoes\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""offset\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""\"",\n      \""default\"": \""0\""\n    },\n    {\n      \""name\"": \""count\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""maximum 25\"",\n      \""default\"": \""25\""\n    }\n  ]\n}\nInput: product_search\nOnly return JSON.""}]","{
  ""required_parameters"": [
    {
      ""name"": ""store_id"",
      ""type"": ""STRING"",
      ""description"": """",
      ""default"": ""1122""
    },
    {
      ""name"": ""keyword"",
      ""type"": ""STRING"",
      ""description"": """",
      ""default"": ""womens shoes""
    }
  ],
  ""optional_parameters"": [
    {
      ""name"": ""offset"",
      ""type"": ""STRING"",
      ""description"": """",
      ""default"": ""0""
    },
    {
      ""name"": ""count"",
      ""type"": ""STRING"",
      ""description"": ""maximum 25"",
      ""default"": ""25""
    }
  ]
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 519, ""original_length"": 519}"
qwen-turbo,toolbench_user_only,"[{""role"": ""user"", ""content"": ""I am planning a road trip from San Francisco to Los Angeles. Can you provide me with a list of suggested addresses along the route? Additionally, suggest some popular attractions and landmarks that we can visit on the way.\nYour output must be valid JSON:\n{\n  \""required_parameters\"": [\n    {\n      \""name\"": \""addresses\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""A record set representing the addresses to be geocoded. Each record must include an OBJECTID attribute with a unique value as well as values for the address fields supported by the service.\"",\n      \""default\"": \""%7B%20%22records%22%3A%20%5B%20%7B%20%22attributes%22%3A%20%7B%20%22OBJECTID%22%3A%201%2C%20%22Address%22%3A%20%22380%20New%20York%20St%22%2C%20%22Neighborhood%22%3A%20%22%22%2C%20%22City%22%3A%20%22Redlands%22%2C%20%22Subregion%22%3A%20%22%22%2C%20%22Region%22%3A%20%22CA%22%20%7D%20%7D%2C%20%7B%20%22attributes%22%3A%20%7B%20%22OBJECTID%22%3A%202%2C%20%22Address%22%3A%20%221%20World%20Way%22%2C%20%22Neighborhood%22%3A%20%22%22%2C%20%22City%22%3A%20%22Los%20Angeles%22%2C%20%22Subregion%22%3A%20%22%22%2C%20%22Region%22%3A%20%22CA%22%20%7D%20%7D%20%5D%20%7D\""\n    },\n    {\n      \""name\"": \""f\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""(Required) Format of the response: json, pjson, html, ...\"",\n      \""default\"": \""pjson\""\n    },\n    {\n      \""name\"": \""token\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""(Required) How to create an API key: https://youtu.be/Q1x4NZPK8Ws\"",\n      \""default\"": \""{{API key}}\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""matchOutOfRange\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""A Boolean which specifies if StreetAddress matches should be returned even when the input house number is outside of the house number range defined for the input street. Out-of-range matches have Addr_type=StreetAddressExt. The geometry of such matches is a point corresponding to the end of the street segment where the range value is closest to the input house number. If matchOutOfRange is not specified in a request, its value is set to true by default.\"",\n      \""default\"": \""false\""\n    },\n    {\n      \""name\"": \""preferredLabelValues\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Allows simple configuration of output fields returned in a response from the ArcGIS World Geocoding Service by specifying which address component values should be included in output fields. Supports a single value as input. If the parameter is blank or excluded from a request then default address label formats will be used.\"",\n      \""default\"": \""localCity\""\n    },\n    {\n      \""name\"": \""outFields\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""The list of fields to be returned within the attributes object of the geocodeAddresses response. Descriptions for each of these fields are available in the Service output topic.\"",\n      \""default\"": \""AddNum,StAddr,City\""\n    },\n    {\n      \""name\"": \""category\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""A place or address type that can be used to filter geocodeAddresses results. The parameter supports input of single category values or multiple comma-separated values. See Category filtering for complete details about the category parameter.\"",\n      \""default\"": \""Address\""\n    },\n    {\n      \""name\"": \""locationType\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Specifies if the output geometry of PointAddress and Subaddress matches should be the rooftop point or street entrance location. Valid values are rooftop and street. The default value is rooftop.\"",\n      \""default\"": \""street\""\n    },\n    {\n      \""name\"": \""searchExtent\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""A set of bounding box coordinates that limit the search area to a specific region. This is especially useful for applications in which a user will search for places and addresses within the current map extent. Helper to get search extent with https://arcgis-js-api-extent-helper.gavinr.com/\"",\n      \""default\"": \""-104,35.6,-94.32,41\""\n    },\n    {\n      \""name\"": \""sourceCountry\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""A value representing the country. When a value is passed for this parameter, all of the addresses in the input table are sent to the specified country to be geocoded. For example, if sourceCountry=USA is passed with a batch request, it is assumed that all of the addresses in the table are in the United States, so only matching addresses in USA are returned. Using this parameter can increase batch geocoding performance when all addresses are within a single country.\"",\n      \""default\"": \""USA\""\n    },\n    {\n      \""name\"": \""outSR\"",\n      \""type\"": \""NUMBER\"",\n      \""description\"": \""The spatial reference of the x/y coordinates returned by a geocode request. This is useful for applications using a map with a spatial reference different than that of the geocode service.\"",\n      \""default\"": 102100\n    },\n    {\n      \""name\"": \""langCode\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Sets the language in which reverse-geocoded addresses are returned. Addresses in many countries are available in more than one language; in these cases the langCode parameter can be used to specify which language should be used for addresses returned by the reverseGeocode operation. This is useful for ensuring that addresses are returned in the expected language. For example, a web application could be designed to get the browser language and pass it as the langCode parameter value in a reverseGeocode request.\"",\n      \""default\"": \""fr\""\n    }\n  ]\n}\nInput: Bulk geocoding\nOnly return JSON.""}]","{
  ""required_parameters"": {
    ""addresses"": ""{\""records\"": [{\""attributes\"": {\""OBJECTID\"": 1, \""Address\"": \""380 New York St\"", \""Neighborhood\"": \""\"", \""City\"": \""Redlands\"", \""Subregion\"": \""\"", \""Region\"": \""CA\""}}, {\""attributes\"": {\""OBJECTID\"": 2, \""Address\"": \""1 World Way\"", \""Neighborhood\"": \""\"", \""City\"": \""Los Angeles\"", \""Subregion\"": \""\"", \""Region\"": \""CA\""}}]}"",
    ""f"": ""pjson"",
    ""token"": ""{{API key}}""
  },
  ""optional_parameters"": {
    ""matchOutOfRange"": ""false"",
    ""preferredLabelValues"": ""localCity"",
    ""outFields"": ""AddNum,StAddr,City"",
    ""category"": ""Address"",
    ""locationType"": ""street"",
    ""searchExtent"": ""-104,35.6,-94.32,41"",
    ""sourceCountry"": ""USA"",
    ""outSR"": 102100,
    ""langCode"": ""fr""
  }
}",False,"2 validation errors for ArcGISPlatformGeocoding_Bulkgeocoding_Model
required_parameters
  Input should be a valid list [type=list_type, input_value={'addresses': '{""records""... 'token': '{{API key}}'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type
optional_parameters
  Input should be a valid list [type=list_type, input_value={'matchOutOfRange': 'fals...02100, 'langCode': 'fr'}, input_type=dict]
    For further information visit https://errors.pydantic.dev/2.12/v/list_type","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 0, ""original_length"": 748}"
qwen-turbo,toolbench_user_only,"[{""role"": ""user"", ""content"": ""My family is considering relocating to a different country and we are interested in finding job opportunities. Can you assist us in finding companies in the B2BHint database that are hiring? We are specifically looking for companies in the technology sector located in Canada. Please provide us with a list of matching companies and their basic company data using the Search company by Name API. Additionally, we would like to retrieve the full company data for a selected company using the Get company [Full data] API.\nYour output must be valid JSON:\n{\n  \""required_parameters\"": [\n    {\n      \""name\"": \""q\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""Company name or number or other identifiers\"",\n      \""default\"": \""Tesla\""\n    }\n  ],\n  \""optional_parameters\"": [\n    {\n      \""name\"": \""countryCode\"",\n      \""type\"": \""STRING\"",\n      \""description\"": \""ISO2 country code\"",\n      \""default\"": \""be\""\n    }\n  ]\n}\nInput: Search company by Name\nOnly return JSON.""}]","{
  ""required_parameters"": [
    {
      ""name"": ""q"",
      ""type"": ""STRING"",
      ""description"": ""Company name or number or other identifiers"",
      ""default"": ""Tesla""
    }
  ],
  ""optional_parameters"": [
    {
      ""name"": ""countryCode"",
      ""type"": ""STRING"",
      ""description"": ""ISO2 country code"",
      ""default"": ""ca""
    }
  ]
}",True,"","{""extraneous_text_pct"": 0.0, ""cleaned_json_length"": 343, ""original_length"": 343}"
